,predicted_mean
2023-08-19 00:00:00,371.5710026204075
2023-08-19 00:00:15,394.3427286020567
2023-08-19 00:00:30,359.21018092632977
2023-08-19 00:00:45,376.16495069244417
2023-08-19 00:01:00,362.1249554995958
2023-08-19 00:01:15,371.8575609380537
2023-08-19 00:01:30,357.24474565598706
2023-08-19 00:01:45,375.4619722216278
2023-08-19 00:02:00,361.7594103917147
2023-08-19 00:02:15,370.0584647001688
2023-08-19 00:02:30,365.0588880947
2023-08-19 00:02:45,522.6588797458159
2023-08-19 00:03:00,627.1588448622017
2023-08-19 00:03:15,632.4588530199962
2023-08-19 00:03:30,610.858854301983
2023-08-19 00:03:45,365.85885332234125
2023-08-19 00:04:00,326.8588534201238
2023-08-19 00:04:15,353.4588534841133
2023-08-19 00:04:30,348.9588534620079
2023-08-19 00:04:45,366.2588534611781
2023-08-19 00:05:00,365.25885346326913
2023-08-19 00:05:15,374.6588534628953
2023-08-19 00:05:30,370.75885346279387
2023-08-19 00:05:45,394.5588534628481
2023-08-19 00:06:00,409.6588534628452
2023-08-19 00:06:15,452.85885346284107
2023-08-19 00:06:30,425.8588534628422
2023-08-19 00:06:45,444.95885346284234
2023-08-19 00:07:00,426.1588534628423
2023-08-19 00:07:15,457.9588534628422
2023-08-19 00:07:30,436.6588534628422
2023-08-19 00:07:45,390.4588534628422
2023-08-19 00:08:00,333.15885346284216
2023-08-19 00:08:15,370.9588534628422
2023-08-19 00:08:30,352.4588534628422
2023-08-19 00:08:45,381.6588534628422
2023-08-19 00:09:00,348.2588534628422
2023-08-19 00:09:15,365.6588534628423
2023-08-19 00:09:30,354.65885346284216
2023-08-19 00:09:45,381.2588534628422
2023-08-19 00:10:00,439.8588534628422
2023-08-19 00:10:15,642.1588534628423
2023-08-19 00:10:30,624.8588534628423
2023-08-19 00:10:45,652.6588534628421
2023-08-19 00:11:00,620.8588534628423
2023-08-19 00:11:15,634.5588534628423
2023-08-19 00:11:30,628.6588534628421
2023-08-19 00:11:45,656.4588534628424
2023-08-19 00:12:00,597.4588534628423
2023-08-19 00:12:15,603.6588534628422
2023-08-19 00:12:30,578.2588534628422
2023-08-19 00:12:45,592.4588534628422
2023-08-19 00:13:00,585.9588534628423
2023-08-19 00:13:15,611.7588534628424
2023-08-19 00:13:30,588.7588534628425
2023-08-19 00:13:45,625.5588534628423
2023-08-19 00:14:00,597.0588534628423
2023-08-19 00:14:15,629.1588534628421
2023-08-19 00:14:30,594.0588534628423
2023-08-19 00:14:45,627.1588534628422
2023-08-19 00:15:00,608.3588534628425
2023-08-19 00:15:15,620.9588534628421
2023-08-19 00:15:30,612.9588534628424
2023-08-19 00:15:45,646.3588534628421
2023-08-19 00:16:00,606.7588534628424
2023-08-19 00:16:15,622.4588534628422
2023-08-19 00:16:30,621.8588534628423
2023-08-19 00:16:45,628.4588534628423
2023-08-19 00:17:00,593.9588534628422
2023-08-19 00:17:15,609.9588534628423
2023-08-19 00:17:30,598.4588534628423
2023-08-19 00:17:45,620.2588534628424
2023-08-19 00:18:00,599.9588534628422
2023-08-19 00:18:15,616.7588534628424
2023-08-19 00:18:30,596.6588534628422
2023-08-19 00:18:45,640.9588534628424
2023-08-19 00:19:00,613.4588534628423
2023-08-19 00:19:15,616.8588534628424
2023-08-19 00:19:30,603.6588534628422
2023-08-19 00:19:45,632.2588534628424
2023-08-19 00:20:00,608.8588534628423
2023-08-19 00:20:15,611.3588534628423
2023-08-19 00:20:30,618.6588534628422
2023-08-19 00:20:45,641.4588534628424
2023-08-19 00:21:00,612.5588534628423
2023-08-19 00:21:15,626.4588534628422
2023-08-19 00:21:30,610.6588534628422
2023-08-19 00:21:45,647.7588534628424
2023-08-19 00:22:00,627.9588534628423
2023-08-19 00:22:15,653.1588534628422
2023-08-19 00:22:30,642.6588534628421
2023-08-19 00:22:45,660.8588534628423
2023-08-19 00:23:00,652.2588534628425
2023-08-19 00:23:15,642.0588534628424
2023-08-19 00:23:30,609.2588534628422
2023-08-19 00:23:45,646.6588534628424
2023-08-19 00:24:00,613.4588534628422
2023-08-19 00:24:15,634.1588534628422
2023-08-19 00:24:30,629.8588534628423
2023-08-19 00:24:45,668.0588534628421
2023-08-19 00:25:00,630.6588534628422
2023-08-19 00:25:15,649.3588534628421
2023-08-19 00:25:30,633.5588534628423
2023-08-19 00:25:45,639.4588534628423
2023-08-19 00:26:00,594.4588534628422
2023-08-19 00:26:15,609.1588534628422
2023-08-19 00:26:30,604.6588534628423
2023-08-19 00:26:45,644.9588534628423
2023-08-19 00:27:00,609.0588534628423
2023-08-19 00:27:15,626.2588534628424
2023-08-19 00:27:30,603.7588534628422
2023-08-19 00:27:45,648.3588534628423
2023-08-19 00:28:00,608.3588534628423
2023-08-19 00:28:15,639.6588534628422
2023-08-19 00:28:30,620.2588534628422
2023-08-19 00:28:45,643.3588534628424
2023-08-19 00:29:00,603.7588534628424
2023-08-19 00:29:15,645.5588534628423
2023-08-19 00:29:30,644.2588534628422
2023-08-19 00:29:45,669.4588534628422
2023-08-19 00:30:00,614.658853462842
2023-08-19 00:30:15,634.7588534628424
2023-08-19 00:30:30,638.7588534628421
2023-08-19 00:30:45,667.5588534628422
2023-08-19 00:31:00,625.3588534628423
2023-08-19 00:31:15,630.1588534628422
2023-08-19 00:31:30,630.6588534628422
2023-08-19 00:31:45,658.3588534628425
2023-08-19 00:32:00,624.0588534628423
2023-08-19 00:32:15,634.4588534628421
2023-08-19 00:32:30,617.8588534628421
2023-08-19 00:32:45,655.4588534628424
2023-08-19 00:33:00,622.1588534628424
2023-08-19 00:33:15,634.6588534628422
2023-08-19 00:33:30,617.9588534628424
2023-08-19 00:33:45,669.6588534628424
2023-08-19 00:34:00,633.2588534628424
2023-08-19 00:34:15,653.3588534628423
2023-08-19 00:34:30,597.2588534628422
2023-08-19 00:34:45,618.3588534628421
2023-08-19 00:35:00,595.2588534628424
2023-08-19 00:35:15,616.7588534628425
2023-08-19 00:35:30,596.6588534628421
2023-08-19 00:35:45,620.7588534628422
2023-08-19 00:36:00,585.3588534628423
2023-08-19 00:36:15,611.3588534628423
2023-08-19 00:36:30,592.7588534628421
2023-08-19 00:36:45,611.5588534628423
2023-08-19 00:37:00,590.1588534628423
2023-08-19 00:37:15,603.6588534628422
2023-08-19 00:37:30,594.8588534628421
2023-08-19 00:37:45,619.4588534628423
2023-08-19 00:38:00,609.3588534628421
2023-08-19 00:38:15,616.0588534628423
2023-08-19 00:38:30,608.1588534628422
2023-08-19 00:38:45,635.0588534628423
2023-08-19 00:39:00,628.7588534628422
2023-08-19 00:39:15,647.9588534628422
2023-08-19 00:39:30,625.4588534628422
2023-08-19 00:39:45,653.3588534628424
2023-08-19 00:40:00,617.8588534628423
2023-08-19 00:40:15,381.4588534628422
