,FH
2023-08-29 00:00:00,35.71252884733287
2023-08-29 00:00:15,35.662995877747164
2023-08-29 00:00:30,35.61350088548444
2023-08-29 00:00:45,35.564044179284465
2023-08-29 00:01:00,35.51462606690756
2023-08-29 00:01:15,35.46524685340966
2023-08-29 00:01:30,35.415906845622764
2023-08-29 00:01:45,35.366606349611104
2023-08-29 00:02:00,35.317345670986
2023-08-29 00:02:15,35.268125114562466
2023-08-29 00:02:30,35.2189449842272
2023-08-29 00:02:45,35.16980558368577
2023-08-29 00:03:00,35.12070721540661
2023-08-29 00:03:15,35.071650182778576
2023-08-29 00:03:30,35.0226347879389
2023-08-29 00:03:45,34.97366133244291
2023-08-29 00:04:00,34.92473011769253
2023-08-29 00:04:15,34.87584144457093
2023-08-29 00:04:30,34.826995611390444
2023-08-29 00:04:45,34.77819291794766
2023-08-29 00:05:00,34.729433664053225
2023-08-29 00:05:15,34.68071814639134
2023-08-29 00:05:30,34.632046663596526
2023-08-29 00:05:45,34.58341951308774
2023-08-29 00:06:00,34.53483698966996
2023-08-29 00:06:15,34.486299389562376
2023-08-29 00:06:30,34.437807008207976
2023-08-29 00:06:45,34.389360140131686
2023-08-29 00:07:00,34.34095907997172
2023-08-29 00:07:15,34.29260412022761
2023-08-29 00:07:30,34.24429555356377
2023-08-29 00:07:45,34.196033671201725
2023-08-29 00:08:00,34.14781876554651
2023-08-29 00:08:15,34.09965112660184
2023-08-29 00:08:30,34.05153104467742
2023-08-29 00:08:45,34.0034588094889
2023-08-29 00:09:00,33.955434710098444
2023-08-29 00:09:15,33.90745903302049
2023-08-29 00:09:30,33.8595320666845
2023-08-29 00:09:45,33.811654096603164
2023-08-29 00:10:00,33.76382540943472
2023-08-29 00:10:15,33.71604629044542
2023-08-29 00:10:30,33.66831702554281
2023-08-29 00:10:45,33.62063789570868
2023-08-29 00:11:00,33.573009185472856
2023-08-29 00:11:15,33.525431177605974
2023-08-29 00:11:30,33.47790415305376
2023-08-29 00:11:45,33.430428393786784
2023-08-29 00:12:00,33.383004178612964
2023-08-29 00:12:15,33.3356317891745
2023-08-29 00:12:30,33.28831150126924
2023-08-29 00:12:45,33.241043594722015
2023-08-29 00:13:00,33.193828345984265
2023-08-29 00:13:15,33.14666603193642
2023-08-29 00:13:30,33.09955692829096
2023-08-29 00:13:45,33.05250131139278
2023-08-29 00:14:00,33.00549945256302
2023-08-29 00:14:15,32.95855162737277
2023-08-29 00:14:30,32.91165810699712
2023-08-29 00:14:45,32.86481916438679
2023-08-29 00:15:00,32.81803506982132
