,0
2024-09-08 09:00:00,25.923366312399605
2024-09-08 10:00:00,29.247957636733187
2024-09-08 11:00:00,30.319263628063194
2024-09-08 12:00:00,30.44083632237741
2024-09-08 13:00:00,32.05862750654743
2024-09-08 14:00:00,32.75445891431347
2024-09-08 15:00:00,32.97489729425521
2024-09-08 16:00:00,32.18976854510927
2024-09-08 17:00:00,31.692055817698428
2024-09-08 18:00:00,28.485228110144185
2024-09-08 19:00:00,27.3833426517067
2024-09-08 20:00:00,26.602692375521354
2024-09-08 21:00:00,26.47558026286722
2024-09-09 09:00:00,25.92250934770668
2024-09-09 10:00:00,29.267232621116925
2024-09-09 11:00:00,30.315575049268602
2024-09-09 12:00:00,30.43318666201491
2024-09-09 13:00:00,32.0695105936969
2024-09-09 14:00:00,32.74781271045498
2024-09-09 15:00:00,32.97572275086561
2024-09-09 16:00:00,32.20130223094225
2024-09-09 17:00:00,31.68963928733097
2024-09-09 18:00:00,28.447186111042672
2024-09-09 19:00:00,27.37265907771964
2024-09-09 20:00:00,26.596721198416777
2024-09-09 21:00:00,26.472629645500056
2024-09-10 09:00:00,25.92205852052133
2024-09-10 10:00:00,29.286695943445558
2024-09-10 11:00:00,30.31195542902057
2024-09-10 12:00:00,30.42554052645534
2024-09-10 13:00:00,32.08036134037551
2024-09-10 14:00:00,32.74111450779964
2024-09-10 15:00:00,32.97648543363855
2024-09-10 16:00:00,32.21276723696695
2024-09-10 17:00:00,31.687150839998846
2024-09-10 18:00:00,28.409070420639686
2024-09-10 19:00:00,27.36190083988893
2024-09-10 20:00:00,26.59067482440274
2024-09-10 21:00:00,26.469603539041604
