,0,1,2,3,4,5,6,7,8,9
14,0,6,43,41,0,23,0,35,17,46
6,20,37,38,33,11,22,10,32,25,43
7,43,37,38,33,11,22,30,32,25,0
1,19,49,22,33,11,0,30,41,21,39
12,21,49,22,33,13,0,30,41,1,0
4,35,6,46,33,13,4,28,41,1,0
9,6,27,34,48,36,26,12,29,20,37
2,28,8,22,4,48,7,19,41,9,33
16,31,8,21,7,2,35,24,4,32,1
8,31,23,21,7,2,35,38,15,32,0
19,42,48,20,38,2,23,40,4,22,37
3,42,15,18,38,49,12,20,35,29,25
17,20,40,10,49,45,46,1,35,31,25
10,20,40,39,4,45,3,31,22,27,35
18,20,40,39,4,38,3,31,22,6,34
15,16,40,12,41,38,15,4,22,31,28
13,3,21,12,41,38,15,11,9,31,28
20,28,21,12,41,49,25,13,9,31,0
11,28,21,12,41,49,25,13,9,5,0
5,28,21,12,49,23,25,26,14,5,0
